id,observed_on,url,image_url,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_family_name,taxon_genus_name
19959538,1/25/2019,https://www.inaturalist.org/observations/19959538,https://static.inaturalist.org/photos/30797980/medium.jpeg,"Sabarimala Traditional Path, Perunad, Kerala 685532, India",9.44561398,76.99812021,698,,,,698,,open,FALSE,gps,gps,,,Kerala,India,Kerala,Idukki,Dussumier's Litter Skink,Sphenomorphus dussumieri,Dussumier's Litter Skink,Reptilia,37551,Animalia,Chordata,Scincidae,Sphenomorphus
20021458,2/2/2019,https://www.inaturalist.org/observations/20021458,https://static.inaturalist.org/photos/30905489/medium.jpg,"Taluk Office Rd, Venkta Puram, Kotturpuram, Chennai, Tamil Nadu 600025, India",13.0100978,80.22799943,11,,,,11,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Beach Spider Lily,Hymenocallis littoralis,Beach Spider Lily,Plantae,210935,Plantae,Tracheophyta,Amaryllidaceae,Hymenocallis
20407307,2/17/2019,https://www.inaturalist.org/observations/20407307,https://inaturalist-open-data.s3.amazonaws.com/photos/31512435/medium.jpeg,"Unnamed Road, Siruppathur, Tamil Nadu 621009, India",10.99130249,78.66235352,,,,,,,,FALSE,gps,gps,,Tiruchchirappalli,Tamil Nadu,India,Tamil Nadu,Tiruchirappalli,African tulip tree,Spathodea campanulata,African tulip tree,Plantae,126566,Plantae,Tracheophyta,Bignoniaceae,Spathodea
20414876,2/17/2019,https://www.inaturalist.org/observations/20414876,https://inaturalist-open-data.s3.amazonaws.com/photos/31521554/medium.jpeg,"Tiruchirappalli, IN-AP, IN",10.86067359,78.91026199,698,,,,698,,open,FALSE,gps,gps,,Tiruchchirappalli,Tamil Nadu,India,Tamil Nadu,Tiruchirappalli,Nile Tilapia,Oreochromis niloticus,Nile Tilapia,Actinopterygii,121324,Animalia,Chordata,Cichlidae,Oreochromis
21276140,3/16/2019,https://www.inaturalist.org/observations/21276140,https://inaturalist-open-data.s3.amazonaws.com/photos/32896818/medium.jpeg,"Dindigul, IN-AP, IN",10.36027813,77.99474335,,,,,,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Dindigul,Sapodilla,Manilkara zapota,Sapodilla,Plantae,165144,Plantae,Tracheophyta,Sapotaceae,Manilkara
21276243,3/16/2019,https://www.inaturalist.org/observations/21276243,https://inaturalist-open-data.s3.amazonaws.com/photos/32896980/medium.jpeg,"Palani Gate Parallel Rd, Balakrishnapuram, Dindigul, Tamil Nadu 624005, India",10.36027813,77.99474335,,,,,,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Dindigul,Indian Borage,Coleus amboinicus,Indian Borage,Plantae,963468,Plantae,Tracheophyta,Lamiaceae,Coleus
21276312,3/16/2019,https://www.inaturalist.org/observations/21276312,https://inaturalist-open-data.s3.amazonaws.com/photos/32897106/medium.jpeg,"Unnamed Road, Balakrishnapuram, Dindigul, Tamil Nadu 624005, India",10.36487865,77.99795532,,,,,,,open,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Dindigul,oleander,Nerium oleander,oleander,Plantae,47563,Plantae,Tracheophyta,Apocynaceae,Nerium
21276358,3/16/2019,https://www.inaturalist.org/observations/21276358,https://inaturalist-open-data.s3.amazonaws.com/photos/32897172/medium.jpeg,"Unnamed Road, Balakrishnapuram, Dindigul, Tamil Nadu 624005, India",10.36487865,77.99795532,,,,,,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Dindigul,Coqueiro-comum,Cocos nucifera,coconut palm,Plantae,48865,Plantae,Tracheophyta,Arecaceae,Cocos
22073228,4/6/2019,https://www.inaturalist.org/observations/22073228,https://inaturalist-open-data.s3.amazonaws.com/photos/34184796/medium.jpeg,"Unnamed Road, Siva Sakthi Colony, Udumalpet, Tamil Nadu 642126, India",10.59871006,77.25509644,,,,,,,,FALSE,gps,gps,Udumalpet,,Tamil Nadu,India,Tamil Nadu,Tiruppur,calabur tree,Muntingia calabura,calabur tree,Plantae,165586,Plantae,Tracheophyta,Muntingiaceae,Muntingia
22735178,4/20/2019,https://www.inaturalist.org/observations/22735178,https://inaturalist-open-data.s3.amazonaws.com/photos/35232590/medium.jpeg,"Unnamed Road, 642126, Udumalpet, Tamil Nadu, India",10.57277966,77.24182129,,,,,,,,FALSE,gps,gps,Udumalpet,,Tamil Nadu,India,Tamil Nadu,Tiruppur,Piper betle,Piper betle,Betel leaf,Plantae,347653,Plantae,Tracheophyta,Piperaceae,Piper
22862930,3/28/2017,https://www.inaturalist.org/observations/22862930,https://inaturalist-open-data.s3.amazonaws.com/photos/35438329/medium.jpeg,"VC Office Rd, Anna University, Kotturpuram, Chennai, Tamil Nadu 600025, India",13.00922134,80.23496345,22,,,,22,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Indian-shot,Canna indica,Indian-shot,Plantae,146643,Plantae,Tracheophyta,Cannaceae,Canna
22889141,4/22/2019,https://www.inaturalist.org/observations/22889141,https://inaturalist-open-data.s3.amazonaws.com/photos/35479519/medium.jpeg,"12, Sardar Patel Rd, Anna University, Guindy, Chennai, Tamil Nadu 600025, India",13.01001221,80.23523167,22,,,,22,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Indian Red Bug,Probergrothius sanguinolens,Indian Red Bug,Insecta,349762,Animalia,Arthropoda,Pyrrhocoridae,Probergrothius
23058343,4/6/2017,https://www.inaturalist.org/observations/23058343,https://inaturalist-open-data.s3.amazonaws.com/photos/35746998/medium.jpeg,"Guest House Road, Anna University, Kotturpuram, Chennai, Tamil Nadu 600025, India",13.00988938,80.23470998,11,,,,11,,open,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Indian Flying Fox,Pteropus giganteus,Indian Flying Fox,Mammalia,40917,Animalia,Chordata,Pteropodidae,Pteropus
23058568,4/14/2017,https://www.inaturalist.org/observations/23058568,https://inaturalist-open-data.s3.amazonaws.com/photos/35747315/medium.jpeg,"12, Sardar Patel Rd, Anna University, Guindy, Chennai, Tamil Nadu 600025, India",13.01007395,80.23529436,44,,,,44,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,stinking passionflower,Passiflora foetida,stinking passionflower,Plantae,51448,Plantae,Tracheophyta,Passifloraceae,Passiflora
23098078,3/31/2017,https://www.inaturalist.org/observations/23098078,https://inaturalist-open-data.s3.amazonaws.com/photos/35809923/medium.jpeg,"12, Sardar Patel Rd, Anna University, Guindy, Chennai, Tamil Nadu 600025, India",13.01028759,80.2352605,175,,,,175,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Madagascar Periwinkle,Catharanthus roseus,Madagascar Periwinkle,Plantae,62924,Plantae,Tracheophyta,Apocynaceae,Catharanthus
23099485,4/10/2017,https://www.inaturalist.org/observations/23099485,https://inaturalist-open-data.s3.amazonaws.com/photos/35812209/medium.jpeg,"Guest House Road, Anna University, Kotturpuram, Chennai, Tamil Nadu 600025, India",13.01036167,80.23338318,,,,,,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Indian Palm Bob,Suastus gremius,Indian Palm Bob,Insecta,154731,Animalia,Arthropoda,Hesperiidae,Suastus
23100220,4/10/2017,https://www.inaturalist.org/observations/23100220,https://inaturalist-open-data.s3.amazonaws.com/photos/35813224/medium.jpeg,"Guest House Road, Anna University, Kotturpuram, Chennai, Tamil Nadu 600025, India",13.00977993,80.23474121,,,,,,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Madhuca longifolia latifolia,Madhuca longifolia latifolia,Mahua,Plantae,464383,Plantae,Tracheophyta,Sapotaceae,Madhuca
23130064,4/14/2017,https://www.inaturalist.org/observations/23130064,https://inaturalist-open-data.s3.amazonaws.com/photos/35854520/medium.jpeg,"Block III Hostel, 4th Cross Road, Anna University, Kotturpuram, Chennai, Tamil Nadu 600025, India",13.01468779,80.23419231,44,,,,44,,open,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Chital,Axis axis,Chital,Mammalia,42166,Animalia,Chordata,Cervidae,Axis
23286034,4/8/2017,https://www.inaturalist.org/observations/23286034,https://inaturalist-open-data.s3.amazonaws.com/photos/36080633/medium.jpeg,"Guest House Road, Anna University, Kotturpuram, Chennai, Tamil Nadu 600025, India",13.00973552,80.23466371,11,,,,11,,open,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Indian Grey Mongoose,Urva edwardsii,Indian Grey Mongoose,Mammalia,925977,Animalia,Chordata,Herpestidae,Urva
23290692,4/14/2017,https://www.inaturalist.org/observations/23290692,https://inaturalist-open-data.s3.amazonaws.com/photos/36087675/medium.jpeg,"125, Surya Nagar, Kotturpuram, Chennai, Tamil Nadu 600085, India",13.01677125,80.23569334,88,,,,88,,open,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Indian Pitta,Pitta brachyura,Indian Pitta,Aves,14388,Animalia,Chordata,Pittidae,Pitta
24104907,4/9/2017,https://www.inaturalist.org/observations/24104907,https://inaturalist-open-data.s3.amazonaws.com/photos/37277894/medium.jpeg,"125, Surya Nagar, Kotturpuram, Chennai, Tamil Nadu 600085, India",13.01644039,80.23643494,,,,,,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Chennai,Coral Bells,Antigonon leptopus,Coral Bells,Plantae,48380,Plantae,Tracheophyta,Polygonaceae,Antigonon
24584417,4/2/2017,https://www.inaturalist.org/observations/24584417,https://inaturalist-open-data.s3.amazonaws.com/photos/38015272/medium.jpeg,"SH 109, Pallikaranai Marshland, Pallikaranai, Chennai, Tamil Nadu 600100, India",12.94991402,80.21883365,88,,,,88,,,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Kancheepuram,common water hyacinth,Pontederia crassipes,common water hyacinth,Plantae,962637,Plantae,Tracheophyta,Pontederiaceae,Pontederia
24978663,5/12/2019,https://www.inaturalist.org/observations/24978663,https://inaturalist-open-data.s3.amazonaws.com/photos/38646329/medium.jpeg,"Munnar - Udumalpet Road, Udumalpet, Tamil Nadu 642154, India",10.5665378,77.2366254,82,,,,82,,,FALSE,,,Udumalpet,,Tamil Nadu,India,Tamil Nadu,Tiruppur,Blue Pea,Clitoria ternatea,Blue Pea,Plantae,160759,Plantae,Tracheophyta,Fabaceae,Clitoria
24978706,5/12/2019,https://www.inaturalist.org/observations/24978706,https://inaturalist-open-data.s3.amazonaws.com/photos/38646423/medium.jpeg,"Munnar - Udumalpet Road, Udumalpet, Tamil Nadu 642154, India",10.5665378,77.2366254,48,,,,48,,open,FALSE,,,Udumalpet,,Tamil Nadu,India,Tamil Nadu,Tiruppur,Scarlet Basker,Urothemis signata,Greater Crimson Glider,Insecta,114829,Animalia,Arthropoda,Libellulidae,Urothemis
24978739,5/12/2019,https://www.inaturalist.org/observations/24978739,https://inaturalist-open-data.s3.amazonaws.com/photos/38646477/medium.jpeg,"Munnar - Udumalpet Road, Udumalpet, Tamil Nadu 642154, India",10.5665378,77.2366254,45,,,,45,,open,FALSE,,,Udumalpet,,Tamil Nadu,India,Tamil Nadu,Tiruppur,White Water-lily,Nymphaea alba,White Water-lily,Plantae,62009,Plantae,Tracheophyta,Nymphaeaceae,Nymphaea
